date_end,ages_0_4,ages_5_11,ages_12_15,ages_16_17,ages_18_29,ages_30_39,ages_40_49,ages_50_64,ages_65_74,ages_75_plus
2020-03-07,0.2,0.4,0.9,3.5,5.2,7.6,10.5,14,11,9.6
2020-03-14,2.5,1.9,5.1,4.9,28,37.5,51.7,54.5,47.3,38.4
2020-03-21,5.2,4.9,10.7,16.8,115.7,170.2,203,204.6,155.6,144.6
2020-03-28,14,8.3,12.5,34.5,177.4,277.1,323.2,332.2,254.5,310.3
2020-04-04,16.7,15.5,33.7,53,233.6,347.2,406.3,443.9,324.4,501.5
2020-04-11,21,18.3,29.9,58.3,214.4,300,366.8,399,330.5,601.1
2020-04-18,17.9,19.6,33.7,55.2,187.9,264.4,286.8,307.8,268.7,547.4
2020-04-25,13.2,19.5,31.2,48.2,151.6,195.3,206.6,221.5,227.2,470.7
2020-05-02,16.5,15.4,32.1,48.2,119.5,148.2,150.5,160,141.2,312.1
2020-05-09,13.2,13.7,21.4,36.2,78.9,103.8,103.5,105.7,96.3,193.4
2020-05-16,14.2,13.2,18.3,33.6,76,93.4,91.9,87.2,78.4,173.7
2020-05-23,11.7,10.5,14.5,21.2,74.2,83.9,85.5,85.8,81.8,164.6
2020-05-30,12,6.1,14.5,22.5,72.6,78.7,74.7,69,57.8,117.2
2020-06-06,8.2,5.9,10.3,12.8,42.5,39.5,37.9,38.4,39.1,80.8
2020-06-13,10.3,8,11.8,23.9,66,74.1,68.1,71.5,62.6,154.8
2020-06-20,3.9,3.9,5.4,15,39.8,27.7,29.1,24.2,22.5,33.9
2020-06-27,5.1,4,12.9,22.5,49.5,34.3,29.9,27.2,20.8,36.6
2020-07-04,7.8,5.2,12,26.1,59,34.9,27,25.8,21.5,30.8
2020-07-11,6.2,6.5,13.6,40.7,62,33.7,26,25.5,16.6,22.1
2020-07-18,2.9,5.3,10,33.6,38.5,23.8,20.3,18.8,13.7,16.2
2020-07-25,8,9.1,16.3,47.3,57.2,31.8,31.8,27.2,20.4,22.1
2020-08-01,7.6,10.8,21,56.1,68.5,36.8,36.7,27.7,21.7,20.7
2020-08-08,8.9,11.6,20.5,45.5,54.5,37.6,33.4,30.7,18.9,23.3
2020-08-15,10.7,14.1,17.8,49.9,62.4,37.5,31.9,27.2,18.3,19.6
2020-08-22,8,9.2,19.2,46,47.9,26.5,25.7,24.8,15.6,20.7
2020-08-29,9.7,10.7,14.5,34.9,53.3,27.2,23.5,22.8,15.7,14
2020-09-05,9.7,11.6,20.3,43.3,89,30.8,28.3,25.2,18.4,18.7
2020-09-12,9.5,9.3,18.7,60.1,101.1,31.2,29.1,26.7,20.4,17.7
2020-09-19,12.4,14.3,31,56.1,89.1,43.9,35.6,33.3,22.5,23.5
2020-09-26,10.1,21.6,37.9,61,109.8,56.7,51.6,41.2,29.3,29.1
2020-10-03,19.2,35.6,57.5,76.5,136.2,96.5,67,57.1,38.8,38.4
2020-10-10,31.5,36.3,49.3,61.4,116.1,94.9,83.9,67.2,41.2,38.3
2020-10-17,32.8,38.6,66.2,92.4,130.8,115.3,104.4,77.2,56.7,44
2020-10-24,45.3,61,94.3,120.2,185.1,167.1,156.4,121.4,79.1,68
2020-10-31,53.8,79.8,115.1,156.9,240.5,217.5,208.8,159.1,106.7,73.9
2020-11-07,93.5,126.3,194.9,281.1,416.3,358.6,315.6,257.8,176.5,131.2
2020-11-14,116.6,158.1,205.1,316.4,444.4,399.3,364,312.4,217.9,192.3
2020-11-21,138.3,178.1,258.9,384.1,536.9,479.3,443.4,403.6,286.8,246.8
2020-11-28,137.9,190.8,268.2,364.2,542.8,500.7,461,420.7,316.4,275.7
2020-12-05,143.8,186.1,268.9,445.9,531.3,489.3,469.6,422.5,325.7,293.2
2020-12-12,150.6,195.7,283.6,377.9,531.1,491.7,461.1,428.7,326.5,317
2020-12-19,124.7,167.5,241.5,319.1,492.2,455,437.1,407.7,326.6,325.8
